symbol,exchange,currency,region,price_scale
AAL.L,XLON,GBp,EU,0.01
PRU.L,XLON,GBp,EU,0.01
TSCO.L,XLON,GBp,EU,0.01
BA.L,XLON,GBp,EU,0.01
SAP.DE,XETR,EUR,EU,1.0
SIE.DE,XETR,EUR,EU,1.0
ALV.DE,XETR,EUR,EU,1.0
DTE.DE,XETR,EUR,EU,1.0
BAS.DE,XETR,EUR,EU,1.0
BAYN.DE,XETR,EUR,EU,1.0
BMW.DE,XETR,EUR,EU,1.0
MC.PA,XPAR,EUR,EU,1.0
OR.PA,XPAR,EUR,EU,1.0
TTE.PA,XPAR,EUR,EU,1.0
SAN.PA,XPAR,EUR,EU,1.0
AIR.PA,XPAR,EUR,EU,1.0
BNP.PA,XPAR,EUR,EU,1.0
ASML.AS,XAMS,EUR,EU,1.0
